id,name,title,organization,org_id,notes,num_resources,license,created,updated,url
51ed08aa-6ba9-459c-9176-4abfa6b73103,melakukan-pendataan-penduduk-non-permanen-dan-penduduk-rentan-administrasi-kependudukan,Melakukan pendataan penduduk non permanen dan penduduk rentan administrasi kependudukan,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Melakukan pendataan penduduk non permanen dan penduduk rentan administrasi kependudukan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/melakukan-pendataan-penduduk-non-permanen-dan-penduduk-rentan-administrasi-kependudukan
538559eb-9304-4d8b-8932-ccc0c9cfcc64,laporan-hasil-pelaksanan-fasilitasi-pelaksanaan-evaluasi-pengembangan-bidang-keuangan-dataset,Laporan Hasil Pelaksanan Fasilitasi Pelaksanaan dan Evaluasi Penelitian dan Pengembangan Bidang Keuangan dan Aset Desa,Badan Perencanaan Pembangunan Daerah Kabupaten Serang,79253ca9-709b-411e-8170-fdc8fc2c428e,Jumlah Laporan Hasil Pelaksanan Fasilitasi Pelaksanaan dan Evaluasi Penelitian dan Pengembangan Bidang Keuangan dan Aset Desa,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-hasil-pelaksanan-fasilitasi-pelaksanaan-evaluasi-pengembangan-bidang-keuangan-dataset
7e08dc03-2906-47f7-ab27-37c42812d0b4,penderita-tuberkulosis-yang-mendapatkan-pelayanan-kesehatan,Penderita Tuberkulosis yang mendapatkan pelayanan kesehatan,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penderita Tuberkulosis yang mendapatkan pelayanan kesehatan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penderita-tuberkulosis-yang-mendapatkan-pelayanan-kesehatan
0c071e92-937b-4fe8-909e-3260fe8f1f48,layanan-pencatatan-sipil-yang-ditingkatkan,Layanan pencatatan sipil yang ditingkatkan,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Layanan pencatatan sipil yang ditingkatkan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/layanan-pencatatan-sipil-yang-ditingkatkan
1ab63d73-d7ec-4199-b246-8584a99713da,laporan-penyajian-data-kependudukan-yang-akurat-dan-dapat-dipertanggungjawabkan,Laporan Penyajian Data Kependudukan yang Akurat dan dapat Dipertanggungjawabkan terkait Pencatatan Sipil,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Laporan Penyajian Data Kependudukan yang Akurat dan dapat Dipertanggungjawabkan terkait Pencatatan Sipil,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-penyajian-data-kependudukan-yang-akurat-dan-dapat-dipertanggungjawabkan
26882afc-86cf-4e86-9398-932451b6536a,laporan-penerbitan-dokumen-atas-hasil-pelaporan-peristiwa-kependudukan,Laporan Penerbitan Dokumen atas Hasil PeLaporan Peristiwa Kependudukan,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Laporan Penerbitan Dokumen atas Hasil PeLaporan Peristiwa Kependudukan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-penerbitan-dokumen-atas-hasil-pelaporan-peristiwa-kependudukan
42cc9673-0446-4119-9b49-2850e18af7a2,laporan-hasil-pelaksanaan-uji-coba-dan-penerapan-rancang-bangunmodel-replikasi-invensi-dataset,Laporan Hasil Pelaksanaan Uji Coba dan Penerapan Rancang BangunModel Replikasi dan Invensi di Bidang Difusi Inovasi dan Penerapan Teknologi,Badan Perencanaan Pembangunan Daerah Kabupaten Serang,79253ca9-709b-411e-8170-fdc8fc2c428e,Jumlah Laporan Hasil Pelaksanaan Uji Coba dan Penerapan Rancang Bangun Model Replikasi dan Invensi di Bidang Difusi Inovasi dan Penerapan Teknologi,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-hasil-pelaksanaan-uji-coba-dan-penerapan-rancang-bangunmodel-replikasi-invensi-dataset
a0037b51-08f4-40b9-be65-cd623a3b44a3,penderita-hiv-odhiv,Penderita HIV (ODHIV),Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penderita HIV (ODHIV),1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penderita-hiv-odhiv
17fa3e79-cf7b-4f46-9a86-00e0eac10996,laporan-pencatatan-atas-peristiwa-kependudukan,Laporan pencatatan atas peristiwa kependudukan,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Laporan pencatatan atas peristiwa kependudukan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-pencatatan-atas-peristiwa-kependudukan
e989749d-e9c2-42e1-adcf-f93110bfb7e2,laporan-pembinaan-dan-pengawasan-terkait-pendataran-penduduk,Laporan pembinaan dan pengawasan terkait Pendataran Penduduk,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Laporan pembinaan dan pengawasan terkait Pendataran Penduduk,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-pembinaan-dan-pengawasan-terkait-pendataran-penduduk
e4a19fd9-504b-4332-9294-c11860353b77,penderita-hiv-odhiv-yang-mendapatkan-pelayanan-kesehatan,Penderita HIV (ODHIV) yang mendapatkan pelayanan kesehatan,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penderita HIV (ODHIV) yang mendapatkan pelayanan kesehatan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penderita-hiv-odhiv-yang-mendapatkan-pelayanan-kesehatan
c58df51e-3db6-4921-b97b-b2182bd468b1,laporan-hasil-sosialisasi-pengelolaan-informasi-administrasi-kependudukan,Laporan Hasil Sosialisasi Pengelolaan Informasi Administrasi Kependudukan,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Laporan Hasil Sosialisasi Pengelolaan Informasi Administrasi Kependudukan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-hasil-sosialisasi-pengelolaan-informasi-administrasi-kependudukan
5edba81d-cb2a-4514-befc-df9c6e0d8f73,penderita-hipertensi,Penderita Hipertensi,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penderita Hipertensi,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penderita-hipertensi
bf7fa1c6-fdea-49d4-b676-661f04c0a3a0,laporan-hasil-sosialisasi-pencatatan-sipil,Laporan hasil sosialisasi Pencatatan Sipil,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Laporan hasil sosialisasi Pencatatan Sipil,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-hasil-sosialisasi-pencatatan-sipil
a1de07ad-6758-4e8a-bc68-54cd14fc9ebb,laporan-hasil-sosialiasi-pendaftaran-penduduk,Laporan hasil sosialiasi pendaftaran penduduk,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Laporan hasil sosialiasi pendaftaran penduduk,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-hasil-sosialiasi-pendaftaran-penduduk
9d77729b-57a8-400a-b2b0-f87ab7d06cad,penderita-diabetes-melitus,Penderita Diabetes Melitus,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penderita Diabetes Melitus,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penderita-diabetes-melitus
