b,kode_kecamatan,kode_desa,kecamatan,desa,Hotel,Penginapan,Menara Telepon Seluler,Operator Layanan Komunikasi Telepon Seluler,,,,,,,,,,,,
182,36.04.22,36.04.22.2014,Baros,Suka Indah,0,0,0,5,,,,,,,,,,,,
183,36.04.23,36.04.23.2001,Cikeusal,Cikeusal,0,0,0,4,,,,,,,,,,,,
184,36.04.23,36.04.23.2002,Cikeusal,Dahu,0,0,1,3,,,,,,,,,,,,
185,36.04.23,36.04.23.2003,Cikeusal,Katulisan,0,0,1,3,,,,,,,,,,,,
186,36.04.23,36.04.23.2004,Cikeusal,Sukamaju,0,0,0,4,,,,,,,,,,,,
187,36.04.23,36.04.23.2005,Cikeusal,Cilayang,0,0,2,3,,,,,,,,,,,,
188,36.04.23,36.04.23.2006,Cikeusal,Sukamenak,0,0,0,3,,,,,,,,,,,,
189,36.04.23,36.04.23.2007,Cikeusal,Cimaung,0,0,2,3,,,,,,,,,,,,
190,36.04.23,36.04.23.2008,Cikeusal,Panyabrangan,0,0,1,3,,,,,,,,,,,,
191,36.04.23,36.04.23.2009,Cikeusal,Gandayasa,0,0,2,3,,,,,,,,,,,,
192,36.04.23,36.04.23.2010,Cikeusal,Bantar Panjang,0,0,0,4,,,,,,,,,,,,
193,36.04.23,36.04.23.2011,Cikeusal,Sukaratu,0,0,3,3,,,,,,,,,,,,
194,36.04.23,36.04.23.2012,Cikeusal,Harundang,0,0,0,3,,,,,,,,,,,,
195,36.04.23,36.04.23.2013,Cikeusal,Sukarame,0,0,1,3,,,,,,,,,,,,
196,36.04.23,36.04.23.2014,Cikeusal,Panosogan,0,0,1,4,,,,,,,,,,,,
197,36.04.23,36.04.23.2015,Cikeusal,Mongpok,0,0,0,3,,,,,,,,,,,,
198,36.04.23,36.04.23.2016,Cikeusal,Sukaraja,0,0,1,3,,,,,,,,,,,,
199,36.04.23,36.04.23.2017,Cikeusal,Cilayang Guha,0,0,1,3,,,,,,,,,,,,
200,36.04.24,36.04.24.2001,Pamarayan,Pamarayan,0,0,4,4,,,,,,,,,,,,
201,36.04.24,36.04.24.2002,Pamarayan,Damping,0,0,0,4,,,,,,,,,,,,
202,36.04.24,36.04.24.2003,Pamarayan,Wirana,0,0,1,5,,,,,,,,,,,,
203,36.04.24,36.04.24.2004,Pamarayan,Keboncau,0,0,2,4,,,,,,,,,,,,
204,36.04.24,36.04.24.2005,Pamarayan,Pudar,0,0,0,1,,,,,,,,,,,,
205,36.04.24,36.04.24.2006,Pamarayan,Binong,0,0,0,4,,,,,,,,,,,,
206,36.04.24,36.04.24.2007,Pamarayan,Sangiang,0,0,2,2,,,,,,,,,,,,
207,36.04.24,36.04.24.2008,Pamarayan,Kampung Baru,0,0,1,1,,,,,,,,,,,,
208,36.04.24,36.04.24.2010,Pamarayan,Pasirlimus,0,0,0,0,,,,,,,,,,,,
209,36.04.24,36.04.24.2018,Pamarayan,Pasir Kembang,0,0,2,2,,,,,,,,,,,,
210,36.04.25,36.04.25.2001,Kopo,Kopo,0,0,3,4,,,,,,,,,,,,
211,36.04.25,36.04.25.2002,Kopo,Garut,0,0,0,5,,,,,,,,,,,,
212,36.04.25,36.04.25.2003,Kopo,Nanggung,0,0,3,6,,,,,,,,,,,,
213,36.04.25,36.04.25.2004,Kopo,Cidahu,0,0,0,5,,,,,,,,,,,,
214,36.04.25,36.04.25.2005,Kopo,Nyompok,0,0,2,7,,,,,,,,,,,,
215,36.04.25,36.04.25.2006,Kopo,Gabus,0,0,0,6,,,,,,,,,,,,
216,36.04.25,36.04.25.2007,Kopo,Carenang Udik,0,0,2,6,,,,,,,,,,,,
217,36.04.25,36.04.25.2008,Kopo,Rancasumur,0,0,0,5,,,,,,,,,,,,
218,36.04.25,36.04.25.2009,Kopo,Babakanjaya,0,0,1,4,,,,,,,,,,,,
219,36.04.25,36.04.25.2010,Kopo,Mekarbaru,0,0,1,7,,,,,,,,,,,,
220,36.04.26,36.04.26.2001,Jawilan,Jawilan,0,0,4,7,,,,,,,,,,,,
221,36.04.26,36.04.26.2002,Jawilan,Bojot,0,0,1,7,,,,,,,,,,,,
222,36.04.26,36.04.26.2003,Jawilan,Cemplang,0,0,1,6,,,,,,,,,,,,
223,36.04.26,36.04.26.2004,Jawilan,Pagintungan,0,0,0,7,,,,,,,,,,,,
224,36.04.26,36.04.26.2005,Jawilan,Pasirbuyut,0,0,0,4,,,,,,,,,,,,
225,36.04.26,36.04.26.2006,Jawilan,Majasari,0,0,2,7,,,,,,,,,,,,
226,36.04.26,36.04.26.2007,Jawilan,Parakan,0,0,3,6,,,,,,,,,,,,
227,36.04.26,36.04.26.2008,Jawilan,Kareo,0,0,1,7,,,,,,,,,,,,
228,36.04.26,36.04.26.2009,Jawilan,Junti,0,0,1,7,,,,,,,,,,,,
229,36.04.27,36.04.27.2001,Ciomas,Ujungtebu,0,0,1,6,,,,,,,,,,,,
230,36.04.27,36.04.27.2002,Ciomas,Siketug,0,0,0,5,,,,,,,,,,,,
231,36.04.27,36.04.27.2003,Ciomas,Lebak,0,0,1,6,,,,,,,,,,,,
232,36.04.27,36.04.27.2004,Ciomas,Pondok Kaharu,0,0,1,5,,,,,,,,,,,,
233,36.04.27,36.04.27.2005,Ciomas,Sukabares,0,0,1,5,,,,,,,,,,,,
234,36.04.27,36.04.27.2006,Ciomas,Sukarena,0,0,0,4,,,,,,,,,,,,
235,36.04.27,36.04.27.2007,Ciomas,Sukadana,0,0,2,5,,,,,,,,,,,,
236,36.04.27,36.04.27.2008,Ciomas,Cemplang,0,0,0,5,,,,,,,,,,,,
237,36.04.27,36.04.27.2009,Ciomas,Cisitu,0,0,1,6,,,,,,,,,,,,
238,36.04.27,36.04.27.2010,Ciomas,Citaman,0,0,1,5,,,,,,,,,,,,
239,36.04.27,36.04.27.2011,Ciomas,Panyaungan Jaya,0,0,0,3,,,,,,,,,,,,
240,36.04.28,36.04.28.2001,Pabuaran,Pabuaran,0,0,0,5,,,,,,,,,,,,
241,36.04.28,36.04.28.2006,Pabuaran,Kadubeureum,0,0,3,4,,,,,,,,,,,,
242,36.04.28,36.04.28.2007,Pabuaran,Tanjungsari,0,0,2,3,,,,,,,,,,,,
243,36.04.28,36.04.28.2009,Pabuaran,Pancanegara,0,0,2,4,,,,,,,,,,,,
244,36.04.28,36.04.28.2010,Pabuaran,Sindangsari,1,0,3,4,,,,,,,,,,,,
245,36.04.28,36.04.28.2012,Pabuaran,Sindangheula,0,0,3,3,,,,,,,,,,,,
246,36.04.28,36.04.28.2013,Pabuaran,Pasanggrahan,0,0,2,4,,,,,,,,,,,,
247,36.04.28,36.04.28.2015,Pabuaran,Talaga Warna,0,0,1,4,,,,,,,,,,,,
248,36.04.29,36.04.29.2001,Padarincang,Padarincang,0,0,1,4,,,,,,,,,,,,
249,36.04.29,36.04.29.2002,Padarincang,Bugel,0,0,0,3,,,,,,,,,,,,
250,36.04.29,36.04.29.2003,Padarincang,Cibojong,0,0,1,3,,,,,,,,,,,,
251,36.04.29,36.04.29.2004,Padarincang,Citasuk,0,0,2,4,,,,,,,,,,,,
252,36.04.29,36.04.29.2005,Padarincang,Cisaat,0,0,1,4,,,,,,,,,,,,
253,36.04.29,36.04.29.2006,Padarincang,Ciomas,0,0,2,4,,,,,,,,,,,,
254,36.04.29,36.04.29.2007,Padarincang,Barugbug,0,0,0,4,,,,,,,,,,,,
